Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
25Q029P.S. 29 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,120,84,0,9557,9557
25Q029P.S. 29 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,154,330,23625,36306,32646
25Q029P.S. 29 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,119,50000,49624,49624
25Q032P.S. 32 - QUEENSSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,61,31,0,11477,11477
25Q032P.S. 32 - QUEENSSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Design,101,88,15000,4528,4528
25Q079P.S. 79 - QUEENSSCA CIPC OF O/FIRE ALARM,Scope,175,198,123965,133085,133085
25Q079P.S. 79 - QUEENSSCA CIPEXTERIOR MASONRY/TCU REMOVAL PLAYGROUND REDEVELOP,Scope,183,128,124445,138155,131011
25Q120P.S. 120 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,274,227,50000,50000,50000
25Q120P.S. 120 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,181,181,150000,150000,150000
25Q120P.S. 120 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,273,179,880000,880000,880549
25Q120P.S. 120 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,F&E,91,79,134000,134000,134000
25Q129P.S. 129 - QUEENSSCA CapacityADDITION,Scope,140,140,1022850,1182834,1153935
25Q129P.S. 129 - QUEENSSCA CapacityADDITION,Design,226,257,3273119,1765479,1411589
25Q129P.S. 129 - QUEENSSCA CIPDEMOLITION,Scope,0,0,25380,54823,3613
25Q129P.S. 129 - QUEENSSCA CIPDEMOLITION,Design,79,157,101520,84848,15713
25Q154P.S. 154 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,90,35000,34738,34738
25Q154P.S. 154 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,115,125000,124059,124059
25Q163P.S. 163 - QUEENSSCA CapacityADDITION,Scope,181,181,876680,853919,853794
25Q163P.S. 163 - QUEENSSCA CapacityADDITION,Design,183,246,3287550,3288502,2712460
25Q165P.S. 165 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,61,35000,34736,34736
25Q168Q255 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,82,63,100000,100000,99247
25Q168I.S. 250 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,67,150000,148394,148394
25Q168I.S. 250 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,214,183,12500,12500,0
25Q169P.S. 169 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,121,48,0,11585,11585
25Q169P.S. 169 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,150,112,24000,50098,42364
25Q169I.S. 294 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,115,35000,34738,34738
25Q169I.S. 294 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,115,85000,84362,84362
25Q169P.S. 169 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,70,50000,49622,49622
25Q184P.S. 184 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,157,77,84477,46640,46640
25Q184P.S. 184 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,153,163,337908,209873,194436
25Q184P.S. 184 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,114,35000,34733,34733
25Q184P.S. 184 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,114,35000,34738,34738
25Q185J.H.S. 185 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEMS,Scope,126,28,8961,916,916
25Q189THE FLUSHING INTERNATIONAL HSSCA CIP RESOAFY14 RESO A ROOM CONVERSIONS / PART,Scope,121,139,0,7378,997
25Q189THE FLUSHING INTERNATIONAL HSSCA CIP RESOAFY14 RESO A ROOM CONVERSIONS / PART,Design,153,170,29702,46701,43493
25Q189THE FLUSHING INTERNATIONAL HSSCA CIP RESOAFY14 RESO A ROOM CONVERSIONS / PART,Construction,269,268,435634,402800,280682
25Q189THE FLUSHING INTERNATIONAL HSSCA CIP RESOAFY14 RESO A ROOM CONVERSIONS / PART,"CM, F&E",269,268,45527,61145,54693
25Q189J.H.S. 189 DANIEL CARTER BEARDDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,120,150000,148875,148875
25Q189J.H.S. 189 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,127,35000,34738,34738
25Q189J.H.S. 189 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,273,243,30000,30000,30000
25Q189J.H.S. 189 - QUEENSTrust For Public LanFY17 RESO A PLAYGROUND REDEVELOPMENT,Design,352,352,120000,120000,120000
25Q193P.S. 193 - QUEENSSCA CIPWATER PENETRATION,Scope,135,211,22110,14987,14590
25Q193P.S. 193 - QUEENSSCA CIPWATER PENETRATION,Design,153,154,81070,67885,67885
25Q193P.S. 193 - QUEENSSCA CIPWATER PENETRATION,Construction,364,345,858605,842473,789130
25Q193P.S. 193 - QUEENSSCA CIPWATER PENETRATION,"CM, F&E",364,345,198990,117614,99200
20K179P.S. 179 KENSINGTONDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,114,35000,34738,34738
20K179P.S. 179 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,114,35000,34736,34736
20K192P.S. 192 - BROOKLYNSCA CIPDETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,Scope,140,125,92522,91852,91852
20K192P.S. 192 - BROOKLYNSCA CIPDETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,Design,155,207,362276,331253,275990
20K200P.S. 200 - BROOKLYNSCA CIPPARAPETS/ROOFS/EXT MASONRY,Scope,135,219,106685,60960,54460
20K201I.S. 201 - BROOKLYNSCA CIPPARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,Scope,138,138,415654,311790,311149
20K201I.S. 201 - BROOKLYNSCA CIPPARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,Design,154,154,1454789,1349161,1061231
20K205P.S. 205 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,90,50000,49388,49388
20K220I.S. 220 - BROOKLYNDOE- RESOAFY16 RESO A ELECTRICAL SYSTEMS,Construction,288,288,223614,223614,223614
20K223URBN ASSY SCHL CRIM JUSTICESCA CIPSCIENCE LAB UPGRADE,Scope,108,266,18270,28401,28401
20K223URBN ASSY SCHL CRIM JUSTICESCA CIPSCIENCE LAB UPGRADE,Design,154,287,73080,190097,172186
20K227I.S. 227 - BROOKLYNSCA CIPWATER PENETRATION/ROOFS/EXT MASONRY/PARAPETS,Scope,137,132,90167,48162,46438
20K229P.S. 229 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,94,100000,99247,99247
20K247P.S. 247 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,79,100000,99239,99239
20K247P.S. 247 - BROOKLYNDOE- RESOAFY16 RESO A LIBRARY UPGRADE,Construction,393,393,175000,47681,47681
20K259I.S. 259 - BROOKLYNSCA CIPCRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,Scope,137,283,161791,195138,192473
20K259I.S. 259 - BROOKLYNSCA CIPCRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,Design,154,196,647159,345958,282023
20K259I.S. 259 - BROOKLYNSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Scope,159,91,101370,72811,68354
20K259I.S. 259 - BROOKLYNSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Design,154,134,405480,183465,183465
20K314P.S. 503 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Scope,139,249,86501,64454,64454
20K314P.S. 503 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Design,159,239,338035,270804,216850
20K314P.S. 503 - BROOKLYNSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,94,80,0,37265,36152
20K314P.S. 503 - BROOKLYNSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Design,139,138,90000,59645,59645
20K314P.S. 506 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,71,100000,99250,99250
20K445NEW UTRECHT HS - BROOKLYNSCA CIPWATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,Scope,135,176,132045,123496,118350
20K445NEW UTRECHT HS - BROOKLYNSCA CIPWATER PENETRATION INTO BASEMENT/NATATORIUM RECONST,Design,153,328,528180,462841,359370
25Q193P.S. 193 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,181,89,34462,41970,41970
25Q193P.S. 193 - QUEENSSCA CIPTCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,184,135,137848,104225,104225
25Q193P.S. 193 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,123,122,0,12487,12487
25Q193P.S. 193 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,116,35000,34735,34735
25Q194J.H.S. 194 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,154,42,101926,70223,70223
25Q194J.H.S. 194 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,159,242,407700,215129,196095
25Q194J.H.S. 194 - QUEENSSCA CIP RESOAFY17 RESO A AUDITORIUM  UPGRADE,Scope,58,50,0,18428,18428
25Q201P.S. 201 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,97,35000,34738,34738
25Q201P.S. 201 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,264,97,182315,179592,179592
25Q209Q009 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,189,35000,34736,34736
25Q214P.S. 214 - QUEENSSCA CIPPARAPETS/FLOOD/EXT MASONRY/ROOFS,Scope,1034,1034,124408,70097,69420
25Q214P.S. 214 - QUEENSSCA CIPPARAPETS/FLOOD/EXT MASONRY/ROOFS,Design,150,200,482553,345901,345817
25Q214P.S. 214 - QUEENSSCA CIP RESOARESO A SUPPLEMENTAL COOLING,Scope,61,34,0,12111,1240
25Q214P.S. 214 - QUEENSSCA CIP RESOARESO A SUPPLEMENTAL COOLING,Design,87,73,21721,6039,4956
25Q214P.S. 214 - QUEENSSCA CIP RESOAFY17 RESO A LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,91,48,0,6552,787
25Q219P.S. 219 - QUEENSSCA CIPLOW VOLTAGE ELECTRICAL/KITCHEN UPGRADE,Scope,91,128,32861,20707,20707
25Q219P.S. 219 - QUEENSSCA CIPLOW VOLTAGE ELECTRICAL/KITCHEN UPGRADE,Design,187,364,127969,194000,164028
25Q219P.S. 213 - QUEENSSCA CIP RESOAFY11 RESO A SUPPLEMENTAL COOLING,Scope,61,38,0,28368,28368
25Q219P.S. 213 - QUEENSSCA CIP RESOAFY11 RESO A SUPPLEMENTAL COOLING,Design,94,73,21000,46147,46147
25Q237J.H.S. 237 - QUEENSSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Scope,62,34,0,13851,1192
25Q237J.H.S. 237 - QUEENSSCA CIP RESOAFY16 RESO A SUPPLEMENTAL COOLING,Design,94,89,48900,4769,4769
25Q242P.S. 242 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,114,100000,99246,99246
25Q244P.S. 244 - QUEENSSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,58,0,8521,8521
25Q244P.S. 244 - QUEENSSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Design,137,88,23474,33230,29509
25Q244P.S. 244 - QUEENSSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,Construction,269,169,344289,322593,278430
25Q244P.S. 244 - QUEENSSCA CIP RESOAFY16 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",269,169,23474,34923,17274
25Q336I.S./H.S. 336 - QUEENSSCA Lease Site ImproLEASE,Scope,169,196,499675,392940,384401
25Q336I.S./H.S. 336 - QUEENSSCA Lease Site ImproLEASE,Design,140,739,1598960,1380213,1048892
25Q425JOHN BOWNE HS - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,33,12949,3653,3653
25Q460QUEENS HIGH SCHOOL FOR LANGUAGDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,69,75000,74436,74436
25Q460VERITAS ACADEMYDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,99,75000,74438,74438
25Q460VERITAS ACADEMYDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,99,100000,99246,99246
25Q499Q993 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,51,70000,69468,69468
25Q515TOWNSEND HARRIS HS - QSCA CIP RESOAFY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,122,4,0,2245,2245
20K446NEW UTRECHT HS - BROOKLYNSCA CIPATHLETIC FIELD REPAIRS,Scope,154,112,79350,89465,76943
20K446NEW UTRECHT HS - BROOKLYNSCA CIPATHLETIC FIELD REPAIRS,Design,214,212,317400,191917,187390
20K485TELECOM ARTS & TECHNOLOGY H.S.SCA CIPC OF O,Scope,122,217,137244,362840,362840
20K485TELECOM ARTS & TECHNOLOGY H.S.SCA CIPC OF O,Design,175,326,548977,1504840,1491540
20K486I.S. 187 - BROOKLYNSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,91,27,0,8489,8489
20K486I.S. 187 - BROOKLYNSCA CIP RESOAFY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,142,149,12000,28329,17853
20K490FORT HAMILTON HS - KSCA CIPPOOL BOILER,Scope,152,76,65925,29520,29520
20K490FORT HAMILTON HS - KSCA CIPPOOL BOILER,Design,154,208,263700,379298,284269
20K490FORT HAMILTON HS - KSCA CIPMASONRY DEFECTS/ROOFS/FLOOD/PARAPETS,Scope,135,262,381649,233126,218006
20K490FORT HAMILTON HS - KSCA CIPMASONRY DEFECTS/ROOFS/FLOOD/PARAPETS,Design,153,139,1520415,145901,145901
20K490FORT HAMILTON HS - KSCA CIP RESOAFY16 RESO A ATHLETIC FIELD UPGRADE,Scope,183,106,0,66052,66052
20K490FORT HAMILTON HS - KSCA CIP RESOAFY16 RESO A ATHLETIC FIELD UPGRADE,Design,183,183,288720,150479,146669
20K613PRE-K CENTER @ 369 93RD STREETPRE-KNEW SCHOOL,Scope,41,42,690925,486536,482593
20K613PRE-K CENTER @ 369 93RD STREETPRE-KNEW SCHOOL,Design,151,378,2210960,2313082,1269802
20K678PRE-K CENTER @ 1423 62ND STPRE-KLEASE,Scope,9,53,622050,467705,450042
20K678PRE-K CENTER @ 1423 62ND STPRE-KLEASE,Design,42,259,1990560,1873774,1735433
20K678PRE-K CENTER @ 1423 62ND STPRE-KLEASE,Construction,419,463,27917604,28068537,26165555
20K678PRE-K CENTER @ 1423 62ND STPRE-KLEASE,"CM, F&E",419,463,3931356,2914506,2353362
20K746P.S. 746 - BROOKLYNSCA CapacityNEW SCHOOL,Scope,183,209,2318675,839189,787066
20K746P.S. 746 - BROOKLYNSCA CapacityNEW SCHOOL,Design,169,449,7419760,3378957,3083117
20K762PRE-K CENTER @ 1355 84TH STPRE-KLEASE,Scope,0,0,51776,64975,64975
20K762PRE-K CENTER @ 1355 84TH STPRE-KLEASE,Design,72,72,165684,152768,152768
20K934FORT HAMILTON HS - KSCA CIPROOFS,Scope,135,262,43408,10771,10771
20K934FORT HAMILTON HS - KSCA CIPROOFS,Design,153,139,173632,43085,43085
21K043I.S. 98 - BROOKLYNSCA CIP RESOAFY12 RESO A AUDITORIUM SEATING,Scope,92,16,0,10561,10561
21K095P.S. 95 - BROOKLYNSCA CIPPARAPET/ROOFS/EXT MASONRY,Scope,169,102,82528,151955,148528
21K095P.S. 95 - BROOKLYNSCA CIPPARAPET/ROOFS/EXT MASONRY,Design,154,120,322525,408826,309908
21K095P.S. 95 - BROOKLYNSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,62,41,0,14619,1574
21K096I.S. 96 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Scope,105,42,0,18616,4759
21K096I.S. 96 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Design,152,310,50820,62010,56454
21K096I.S. 96 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,Construction,239,234,745356,462398,253395
21K096I.S. 96 - BROOKLYNSCA CIP RESOAFY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",239,234,55546,55541,52629
21K097P.S. 97 - BROOKLYNSCA CapacityADDITION,Scope,154,140,1220080,573475,543959
21K097P.S. 97 - BROOKLYNSCA CIPDEMOLITION,Scope,0,0,9270,19894,681
21K097P.S. 97 - BROOKLYNSCA CIPDEMOLITION,Design,103,154,33990,31541,2721
21K097P.S. 97 - BROOKLYNSCA CIPPLANYC BOILER CONVERSION,Scope,154,150,85998,1148,1148
21K097P.S. 97 - BROOKLYNSCA CIPPLANYC CLIMATE CONTROL,Scope,154,150,24029,48,48
21K097P.S. 97SCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,1448,1448
21K097P.S. 97SCA Emergency LightiLL 41/16 COMPLIANCE,Design,0,43,2600,23870,23870
21K099P.S. 99 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,92,50000,49388,49388
26Q026P.S. 26 - QUEENSSCA CIP RESOAFY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,91,70,0,6646,6646
26Q026P.S. 26 - QUEENSSCA CIP RESOAFY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Design,159,168,37028,26765,26582
26Q026P.S. 26 - QUEENSSCA CIP RESOAFY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,364,364,543076,572817,502900
26Q026P.S. 26 - QUEENSSCA CIP RESOAFY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",364,364,37028,56037,54672
26Q031P.S. 31 - QUEENSSCA CIPCHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Scope,141,180,226470,129390,129390
26Q031P.S. 31 - QUEENSSCA CIPCHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Design,153,243,898205,526869,429482
26Q041P.S. 41 - QUEENSSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Scope,59,39,0,11922,5386
26Q067J.H.S. 67 - QUEENSSCA CIPFLOOD ELIMINATION,Scope,142,277,17598,87249,87050
26Q067J.H.S. 67 - QUEENSSCA CIPFLOOD ELIMINATION,Design,159,344,70391,78791,77274
26Q094P.S. 94 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,82,50000,49624,49624
26Q098P.S. 98 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,224,85,35000,34738,34738
26Q098P.S. 98 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,85,65000,64512,64512
26Q115P.S. 115 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,158,60,83160,63606,63606
26Q115P.S. 115 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,520,177,332640,257224,255791
26Q115P.S. 115 - QUEENSSCA CIPPARAPETS/EXT MASONRY,Scope,137,170,74250,152715,138531
26Q115P.S. 115 - QUEENSSCA CIPPARAPETS/EXT MASONRY,Design,155,266,297000,348509,284693
26Q115P.S. 115 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,49,100000,99200,99200
26Q130P.S. 130 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,14,6808,1214,1214
26Q130P.S. 130 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,58,35000,34735,34735
26Q130P.S. 130 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,58,35000,34738,34738
26Q133P.S. 133 - QUEENSSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,63,0,68557,44625
26Q133P.S. 133 - QUEENSSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Design,141,157,169500,83572,83572
26Q133P.S. 133 - QUEENSSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,90,35,0,18647,18647
26Q133P.S. 133 - QUEENSSCA CIP RESOAFY15 RESO A PLAYGROUND REDEVELOPMENT,Design,138,56,81780,74588,74588
26Q162P.S. 162 - QUEENSSCA CIPPARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Scope,136,120,129451,145119,142818
26Q162P.S. 162 - QUEENSSCA CIPPARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Design,159,159,517800,464193,412158
26Q162P.S. 162 - QUEENSSCA CIPPARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Construction,539,753,9708751,9892329,7793858
26Q162P.S. 162 - QUEENSSCA CIPPARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,"CM, F&E",539,753,604100,893446,825017
26Q162P.S. 162 - QUEENSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Scope,157,45,86092,67115,63246
26Q162P.S. 162 - QUEENSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Design,156,168,344367,187066,187066
26Q162P.S. 162 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,169,100000,99246,99246
26Q173Q255 SPED - QUEENSSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,63,47,0,7813,7813
26Q173P.S. 173 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,210,66,35000,34737,34737
26Q177Q177 SPED - QUEENSSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Scope,158,77,122396,85483,85483
26Q177Q177 SPED - QUEENSSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Design,153,170,480196,393712,375403
26Q177Q177 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,49,100000,100000,99247
26Q178P.S./ IS 178 HOLLISWOODDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,30,35000,34667,34667
26Q178P.S./ IS 178 HOLLISWOODDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,30,100000,99250,99250
26Q179Q004 SPED - QUEENSSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,64,47,0,7645,7645
26Q179Q004 SPED - QUEENSSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Design,125,84,37500,3985,3985
26Q188P.S. 188 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Scope,123,73,0,10096,10096
26Q188P.S. 188 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Design,153,188,28498,46729,41730
26Q188P.S. 188 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,Construction,239,218,417971,398713,228404
26Q188P.S. 188 - QUEENSSCA CIP RESOAFY16 RESO A AUDITORIUM UPGRADE,"CM, F&E",239,218,28498,45059,44024
26Q191Q993 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,215,128,35000,34738,34738
26Q191P.S. 191 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,214,100000,99246,99246
26Q203P.S. 203 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,272,136,108000,107186,107186
26Q205P.S. 205 - QUEENSSCA CIPBOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,Scope,440,372,242316,198941,187995
26Q205P.S. 205 - QUEENSSCA CIPBOILER/CLIMATE CTRL/FLOOD/MASONRY/ ROOFS/PARAPETS,Design,156,155,963320,511582,493033
21K101P.S. 101 - BROOKLYNSCA CapacityADDITION,Scope,182,182,1649975,1118524,1118524
21K101P.S. 101 - BROOKLYNSCA CapacityADDITION,Design,202,235,5279920,4057200,2247966
21K121P.S. 121 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Scope,135,65,138122,28244,28244
21K121P.S. 121 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS/ROOFS,Design,153,222,543297,139740,109704
21K121P.S. 121 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,60,50000,49608,49608
21K128P.S. 128 - BROOKLYNSCA CIPWINDOWS/EXT MASONRY,Scope,138,237,39325,20458,20458
21K128P.S. 128 - BROOKLYNSCA CIPWINDOWS/EXT MASONRY,Design,154,203,150473,140072,116527
21K128P.S. 128 BENSONHURSTDIIT - RESOAFY16 RESO A TECHNOLOGY,Purch & Install,22,77,100000,99250,99250
21K177P.S. 174 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,60,35,0,17469,17469
21K188P.S. 188 - BROOKLYNSCA CIPSANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,Scope,153,70,217432,212064,212039
21K188P.S. 188 - BROOKLYNSCA CIPSANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,Design,186,130,862346,959315,875043
21K209P.S. 206 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,62,34,0,11489,11489
21K212P.S. 212 - BROOKLYNSCA CIPEXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,Scope,135,112,187905,87477,87477
21K212P.S. 212 - BROOKLYNSCA CIPEXT MASONRY - WATER PENETRATION/PARAPETS/ROOFS/WIN,Design,154,344,751619,150273,149773
21K212P.S. 212 - BROOKLYNSCA CIPDEFECTIVE STAIR LANDING,Scope,1,1,9600,7175,7175
21K212P.S. 212 - BROOKLYNSCA CIPDEFECTIVE STAIR LANDING,Design,168,276,35199,30231,29110
21K212P.S. 212 - BROOKLYNSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Scope,59,76,0,12897,12897
21K212P.S. 212 - BROOKLYNSCA CIP RESOAFY17 RESO A LIBRARY UPGRADES,Design,135,154,26888,41396,40406
21K215P.S. 213 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,62,41,0,12967,1293
21K215K231 SPED - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,115,50000,49625,49625
